"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bahamas, The","BHS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","589300000","688100000","785000000","939800000","961200000","1038300000","1153500000","1297900000","1503600000","1577900000","1664300000","","1648320000","1714730000","1585170000","1562180000","1606810000","1662790000","1699040000","1733680000","2335400000","2368200000","2801300000","3072900000","2834100000","3212800000","3176400000","3460500000","3812500000","3895000000","4257100000","4157100000","3412900000","3528800000","3769900000","4087400000","4245700000","4149100000","4125100000","4239300000","4093100000",
"Bosnia and Herzegovina","BIH","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194000000","381000000","658000000","1022000000","1123990566.57385","1295321568.62745","1579685633.53745","1632283629.20937","1619401636.18864","2535225100.98096","3231697333.33333","3549945952.81999","4505419793.47059","4276291112.6662","5131401288.19652","4405111158.46296","5100738132.32207","5973018693.58163","5572151491.26265","6133882967.89084","6307966354.63302","5604969095.54863","5988258582.65935","6535313991.01072",
"Belarus","BLR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9950000000","","","","12681000000","6699444444.44444","6839769230.76923","8445538461.53846","9013782608.69565","7194903614.45783","8816705718.27057","8246546762.58993","9285958123.9531","11615943442.2233","15711851851.8519","18063463324.0483","22195244755.2448","27593429636.5331","37027902621.7228","24865449337.6298","29396844578.7177","48458472361.809","51744692335.3724","44058175675.6757","43301115023.4742","32749824186.8643","29831121833.5344","36259535268.8506",
"Belize","BLZ","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","107850000","103000000","86000000","92750000","131700000","101400000","126500000","167200000","195300000","216950000","257000000","241350000","257665800","261402300","289455450","297425600","320713850","345342500","362282350","403420450","440750000","443500000","490150000","526733350","534853450","609026800","744269450","788432250","853628650","690190900","813293700","893607300","982925150","988427400","1031939900","1018212550","904493400","956000000",
"Bermuda","BMU","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2699314000","2704649000","2644231000","2589439000","2656891000","","","","",
"Bolivia","BOL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","75126462.87918","83473847.6435333","83473847.6435333","100168617.17224","133558156.229653","151515151.515152","168350168.350168","202020202.020202","202020202.020202","227272727.272727","250168350.16835","234343434.343434","265513350.883791","350024987.506247","741229385.307346","623738130.934533","756121939.030485","864117941.029485","849175412.293853","1068846706.17008","1112933230.01631","1370742618.2708","1625893979.71335","1535521646.15982","1459382460.65735","1024366575.83932","844298528.585403","853524588.169453","862854857.376268","1061010967.12834","1108688320.48918","1147700385.41027","1131361363.9277","1094220299.64127","1295735742.88497","1514377643.06398","1670373428.44756","1673157413.92764","1673904647.82853","1398595244.64937","1534697177.97364","1626040049.03964","1710308647.14086","2069144688.74034","2731911668.34677","3394519904.2908","4783642093.96375","5483666700.63175","7487864968.29366","6194300427.35043","8093183262.78735","10565709240.3056","12774727351.6643","13518462662.8075","14285068740.9551","10186598842.2576","8311504920.40521","9341206367.58321",
"Brazil","BRA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","13985500336","24350900650","27171998705.1429","26771696339.4783","23479800415.04","27752098670.3706","35963904589.9465","38004000000","37880000000","52310000000","43538125000","45983167701.8634","53941811356.1708","57920041189.9313","57235482141.0805","61679566883.1169","60724077380.4395","57330907863.5587","66774569991.801","69203919564.6629","72286060356.887","84757339584.0104","110743537333.333","135918583634.571","159215717372.316","186198864978.686","229512907623.514","180894503351.005","237193042291.951","299977283596.365","288502380830.475","287591948425.398","270452613684.658","232489103970.663","224152093723.13","258327182741.117",
"Barbados","BRB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","867846666.335206","819569432.705216","808900000","872470541.440859","973599164.719336","1038930045.24437","1134340973.49973","1161686471.43638","1194252473.52459","1230497688.06245","1322800000","1251500000","1211100000","1378750000","1435900000","1711700000","1938700000","2043900000","2090350000","1904950000","1763300000","1766750000","1811200000","1914200000","1879250000","1614900000","1648850000","1775045920.82438",
"Brunei Darussalam","BRN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","966802084.6157","1052165478.85126","1332766715.23393","1639747478.88825","1844766930.51891","2665317759.58797","4601625256.86531","4066833909.2157","3809813084.11215","3393752957.87979","","","","","","1845357124.54494","2176000000","2468163926.83492","2421117249.84653","2248421834.38544","2087861725.80856","2827007196.27487","3065957446.80851","2972117456.89655","2044694072.65774","2567551622.41888","4042036716.93736","3894175364.17927","3922149447.1127","4543527034.78361","5416090226.00876","6688037370.82432","8227327081.6288","8310397452.06025","11269686706.1812","7811357074.10972","9240190685.73524","12876222275.2206","13364276568.5019","12311381074.1688","11749802683.5043","6751036439.01375","5652190806.13914","6012294722.46602",
"Bhutan","BTN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","18510178.1170483","22602771.3625866","20400634.2494715","19968316.8316832","21887323.943662","25820533.5489086","35504361.6177637","59617283.9506173","79686063.2183908","77398028.3425755","80434037.692747","80410290.237467","80220293.2098765","74261397.1794031","79964297.0991393","114460067.838421","112291843.070844","131398512.806389","124772176.442075","130380863.910822","129012507.788162","125216999.364272","128202190.907221","158797507.513954","218024620.476611","313215333.333333","488540499.2606","657474450.100971","613943620.532718","565371973.730149","673077343.64407","750024105.16279","706230865.389654","727604108.004055","705657393.850659","684173682.569379","657551941.876887","654102941.176471",
